"ts","orig_h","resp_h","proto","query","qtype_name","answers","community_id"
"2026-02-12 23:46:25.708","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:8qtb7anOr8EnfpemD3k5V0XiA8w="
"2026-02-12 23:46:25.669","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:CmLIhKvFwC0XBDQqGVUK1ZRH2Zw="
"2026-02-12 23:46:25.591","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:MhTn1jHrL4lfVVd7zhlFPxpeLr4="
"2026-02-12 23:46:25.552","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:hEbg/WAXICI4OYF9WSJFCjrt4DA="
"2026-02-12 23:46:25.478","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:qltQPuvDNvxtz9ZXE+28mvf0sfc="
"2026-02-12 23:46:25.438","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:0k8MXuale48um/04fL5uHn6Z7iI="
"2026-02-12 23:46:25.357","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:o5xSPJR3FvvO6N7fcrtroCFwfBI="
"2026-02-12 23:46:25.319","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:zCW+tLtv9QKL4DkYDuWOdhID7Z8="
"2026-02-12 23:46:25.243","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:C8Q3/dzSDG6pduUDK2C5SPzT1mg="
"2026-02-12 23:46:25.204","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:ZcwrPF7sEeqQtoaaEFcaecngNVM="
"2026-02-12 23:46:25.128","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:7eDk9EVW2S8fhPcxTALvWGZureg="
"2026-02-12 23:46:25.090","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:uCvNmtNdgTKR7F8n6ZnSOUggjh4="
"2026-02-12 23:46:25.015","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:vmMUcQN3i2jWqNYCqXai2PGwWqU="
"2026-02-12 23:46:24.976","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:nExbCforguEiYFYQGVTNfQ4RNns="
"2026-02-12 23:46:24.900","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:68vpVxg1kbVeWQR6JN9G4vsuW5A="
"2026-02-12 23:46:24.862","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:DVxfQD+7f8g8mHxw1JNBRttxXjU="
"2026-02-12 23:46:24.787","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:vJwP2OFjXNlEwRl4ZB4YSNPf4MY="
"2026-02-12 23:46:24.748","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:VmOLo5UqT255N/KR6r5gjCAuQcE="
"2026-02-12 23:46:24.671","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:y3PGTeI8A6zgdXG62d4i02PSby4="
"2026-02-12 23:46:24.632","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:nI7t9AKTfAPj3r5ZODIHHP9ma/8="
"2026-02-12 23:46:24.556","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:2lkjt3sZ/k5UYmtIsSzclvDZtDE="
"2026-02-12 23:46:24.517","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:0s3w3YHnlPm8gyFsOajv6vw2CDE="
"2026-02-12 23:46:24.426","10.1.2.12","8.8.8.8","udp","honeypot","AAAA","","1:wbG5eGuKsI87ygIo14Oad1CcUx4="
"2026-02-12 23:46:24.387","10.1.2.12","8.8.8.8","udp","honeypot","A","","1:V7RsprVkezhmjXcBm4lBoFp/Ne4="
"2026-02-12 23:44:26.099","10.1.2.12","8.8.8.8","udp","c.2.b.d.4.5.e.f.f.f.a.8.6.7.e.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","PTR","","1:rIsTRyJhOA/d/2DmiGjEj59KYOw="
