ts,uid,orig_h,orig_p,resp_h,resp_p,proto,query,qtype_name,answers,rcode_name,qclass_name
1767916871.519624,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916871.519624,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916875.193667,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916875.193667,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916878.6776,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916878.6776,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916878.806065,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916878.806065,C89taq2Az6nVmPu6kk,,,,,udp,207.140.153.78.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916882.267576,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916882.267576,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916883.027138,CDmJyB17SeGoJ1Kgn5,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916883.027123,CgxTozQfKXCd7Or18,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916884.730965,CzZoEL2gF3DoXfcmh7,,,,,udp,community.sicherheitstacho.eu,AAAA,,NOERROR,C_INTERNET
1767916884.730984,CsDsUbFob9gGjFEu,,,,,udp,community.sicherheitstacho.eu,A,['160.44.201.156'],NOERROR,C_INTERNET
1767916885.712657,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916885.712657,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916889.267657,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916889.267657,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916892.93666,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916892.93666,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916896.592637,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916896.592637,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916900.163685,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916900.163685,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916903.783618,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916903.783618,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916907.392608,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916907.392608,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916910.954668,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916910.954668,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916914.739884,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916914.739884,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916918.198687,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916918.198687,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916921.753683,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916921.753683,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916925.601642,C89taq2Az6nVmPu6kk,,,,,udp,12.2.1.10.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
1767916925.601642,C89taq2Az6nVmPu6kk,,,,,udp,148.241.92.91.in-addr.arpa,PTR,,NXDOMAIN,C_INTERNET
